,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas Ocupadas,Prom. Grado Escolar,Personas C/Servicio de Salud
58336,15.456863657515123,75.0,17.0,47.675835426737876,30.0,38.0,7.31,51.0
58337,15.456863657515123,75.0,14.0,47.675835426737876,36.0,35.0,8.98,46.0
58338,15.456863657515123,59.0,7.0,59.0,23.0,31.0,9.11,30.0
58339,22.0,69.0,10.0,64.0,28.0,29.0,8.13,34.0
58340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58341,26.0,71.0,8.0,70.0,37.0,32.0,9.0,41.0
58342,15.456863657515123,81.0,16.0,68.0,32.0,32.0,7.8,56.0
58343,30.0,88.0,16.0,47.675835426737876,38.0,40.0,8.54,66.0
58344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58345,15.456863657515123,9.0,7.459091211939503,9.0,4.0,6.0,8.13,8.0
58346,15.456863657515123,70.0,12.0,56.0,26.0,30.0,8.02,45.0
58347,21.0,72.0,12.0,70.0,30.0,38.0,8.48,57.0
58348,15.456863657515123,76.0,10.0,57.0,36.0,41.0,8.69,56.0
58349,22.0,94.0,24.0,47.675835426737876,41.0,37.0,8.04,79.0
58350,49.0,146.0,21.0,141.0,61.0,54.0,7.87,97.0
58351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58353,15.456863657515123,47.0,7.459091211939503,34.0,24.0,30.0,8.0,38.0
58354,15.456863657515123,10.0,7.459091211939503,10.0,6.0,7.0,7.13,9.0
58355,15.456863657515123,25.0,7.459091211939503,22.0,16.0,13.0,8.07,12.0
58356,15.0,55.0,7.459091211939503,55.0,21.0,27.0,7.68,37.0
58357,15.456863657515123,56.0,8.0,54.0,27.0,26.0,7.73,32.0
58358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58359,6.0,22.0,7.459091211939503,15.0,12.0,13.0,8.94,17.0
58360,15.456863657515123,39.0,3.0,34.0,14.0,17.0,7.43,25.0
58361,15.456863657515123,21.0,7.459091211939503,18.0,8.0,14.0,6.71,16.0
58362,16.0,46.0,7.459091211939503,38.0,22.0,28.0,7.74,29.0
58364,127.0,367.0,49.0,334.0,153.0,177.0,9.36,285.0
58365,15.456863657515123,105.0,22.0,90.0,43.0,51.0,7.94,79.0
58366,32.0,91.0,16.0,64.0,36.0,27.0,8.41,69.0
58367,46.0,136.0,17.0,47.675835426737876,66.0,73.0,7.98,91.0
58368,68.0,191.0,29.0,156.0,85.0,96.0,8.21,119.0
58369,29.0,77.0,9.0,49.0,24.0,38.0,8.51,68.0
58370,20.0,57.0,11.0,43.0,17.0,21.0,9.58,44.0
58371,66.0,212.0,30.0,176.0,98.0,112.0,8.75,152.0
58372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58373,15.456863657515123,92.0,11.0,72.0,39.0,41.0,9.04,66.0
58374,15.456863657515123,58.0,11.0,46.0,20.0,28.0,7.92,35.0
58375,44.0,137.0,17.0,95.0,53.0,62.0,8.23,93.0
58376,37.0,117.0,18.0,78.0,49.0,60.0,7.83,65.0
58377,37.0,118.0,18.0,96.0,45.0,54.0,9.07,74.0
58378,53.0,157.0,26.0,138.0,58.0,55.0,8.67,108.0
58379,15.456863657515123,103.0,20.0,91.0,40.0,35.0,7.97,84.0
58380,15.456863657515123,69.0,10.0,68.0,32.0,29.0,8.7,64.0
58381,34.0,136.0,26.0,132.0,59.0,56.0,8.7,94.0
