NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Personas S/Internet,Personas C/Servicio de Salud
Tabasco,1,Balancán,1,Balancán,076A,30.0,86.0,6.0,78.0,33.0,8.0,36.0,16.0,86.0
Tabasco,1,Balancán,1,Balancán,076A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,076A,12.0,34.0,0.0,79.1235484742101,12.0,9.0,14.0,7.0,30.0
Tabasco,1,Balancán,1,Balancán,0774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0793,31.772851503188583,25.0,0.0,23.0,13.0,9.906078158222744,19.0,5.0,16.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,61.0,3.0,45.0,16.0,16.0,25.0,14.0,34.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,18.0,0.0,16.0,8.0,9.906078158222744,8.0,4.0,5.0
Tabasco,1,Balancán,74,El Triunfo,0577,15.0,42.0,3.0,27.0,20.0,15.0,15.0,9.0,24.0
Tabasco,1,Balancán,74,El Triunfo,0577,10.0,43.0,3.0,30.0,22.0,13.0,23.0,11.0,23.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,7.0,0.0,79.1235484742101,4.0,3.0,3.0,4.0,6.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,43.0,0.0,43.0,17.0,0.0,23.0,9.0,42.0
Tabasco,1,Balancán,74,El Triunfo,0577,8.0,36.0,0.0,33.0,21.0,3.0,21.0,10.0,34.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,49.0,3.0,37.0,23.0,12.0,23.0,10.0,38.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,57.0,3.0,38.0,24.0,19.0,23.0,13.0,42.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,77.0,5.0,64.0,24.0,13.0,35.0,17.0,29.0
Tabasco,1,Balancán,74,El Triunfo,0577,14.0,86.0,8.0,84.0,40.0,9.906078158222744,53.0,22.0,67.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,25.0,0.0,24.0,9.0,9.906078158222744,13.0,6.0,9.0
Tabasco,1,Balancán,74,El Triunfo,0577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,74,El Triunfo,0577,31.772851503188583,24.0,0.0,20.0,11.0,4.0,12.0,9.0,11.0
Tabasco,1,Balancán,74,El Triunfo,0581,8.0,34.0,4.0,29.0,13.0,5.0,18.0,8.0,25.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,70.0,4.0,70.0,24.0,0.0,38.0,14.0,57.0
Tabasco,1,Balancán,74,El Triunfo,0581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,43.0,3.0,32.0,21.0,11.0,13.0,10.0,38.0
Tabasco,1,Balancán,74,El Triunfo,0581,3.0,11.0,0.0,11.0,6.0,0.0,5.0,4.0,4.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,38.0,0.0,37.0,19.0,9.906078158222744,20.0,9.0,31.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,19.0,0.0,11.0,8.0,8.0,10.0,3.0,15.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,6.0,0.0,79.1235484742101,37.62184402468674,3.0,4.0,13.429552281504792,4.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,54.0,3.0,47.0,20.0,7.0,29.0,10.0,36.0
Tabasco,1,Balancán,74,El Triunfo,0581,24.0,73.0,6.0,67.0,27.0,6.0,47.0,6.0,36.0
Tabasco,1,Balancán,74,El Triunfo,0581,15.0,54.0,3.0,41.0,25.0,13.0,33.0,13.0,19.0
Tabasco,1,Balancán,74,El Triunfo,0581,13.0,37.0,3.0,36.0,20.0,9.906078158222744,19.0,6.0,35.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,37.0,0.0,35.0,13.0,9.906078158222744,19.0,7.0,34.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,69.0,7.0,65.0,23.0,4.0,29.0,18.0,59.0
Tabasco,1,Balancán,74,El Triunfo,0581,20.0,70.0,5.0,63.0,20.0,7.0,36.0,12.0,54.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,10.0,0.0,79.1235484742101,4.0,5.0,8.0,13.429552281504792,8.0
Tabasco,1,Balancán,74,El Triunfo,0581,10.0,37.0,4.0,34.0,17.0,3.0,22.0,8.0,27.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,23.0,0.0,79.1235484742101,10.0,7.0,13.0,13.429552281504792,13.0
Tabasco,1,Balancán,74,El Triunfo,0581,31.772851503188583,31.0,0.0,27.0,16.0,4.0,19.0,7.0,17.0
Tabasco,1,Balancán,74,El Triunfo,0596,10.0,59.0,4.0,55.0,30.0,4.0,39.0,13.0,54.0
Tabasco,1,Balancán,74,El Triunfo,0596,31.772851503188583,39.0,5.0,36.0,15.0,3.0,26.0,8.0,33.0
